iter	Passed	Remaining
0	97	97470
1	172	85982
2	260	86634
3	362	90329
4	453	90210
5	536	88889
6	634	89993
7	721	89512
8	808	89062
9	894	88523
10	986	88734
11	1074	88486
12	1171	88921
13	1257	88592
14	1351	88760
15	1449	89160
16	1537	88896
17	1630	88962
18	1716	88602
19	1801	88271
20	1895	88368
21	2009	89316
22	2126	90323
23	2215	90077
24	2325	90693
25	2428	90964
26	2518	90755
27	2621	90987
28	2715	90909
29	2805	90725
30	2909	90938
31	2998	90702
32	3092	90613
33	3186	90540
34	3277	90377
35	3376	90417
36	3482	90648
37	3572	90449
38	3676	90596
39	3787	90903
40	3879	90749
41	3984	90873
42	4080	90809
43	4172	90667
44	4263	90480
45	4360	90434
46	4457	90378
47	4564	90532
48	4684	90922
49	4808	91354
50	4929	91729
51	5026	91628
52	5129	91658
53	5236	91742
54	5334	91658
55	5424	91440
56	5512	91198
57	5603	91009
58	5703	90969
59	5791	90733
60	5898	90802
61	5980	90481
62	6079	90418
63	6180	90382
64	6271	90214
65	6368	90122
66	6464	90027
67	6570	90047
68	6663	89909
69	6752	89711
70	6861	89784
71	6954	89629
72	7053	89573
73	7160	89599
74	7258	89522
75	7370	89614
76	7471	89556
77	7564	89420
78	7661	89322
79	7763	89276
80	7860	89181
81	7960	89117
82	8054	88987
83	8151	88890
84	8260	88924
85	8357	88821
86	8444	88613
87	8546	88576
88	8642	88467
89	8733	88306
90	8830	88205
91	8933	88166
92	9035	88116
93	9132	88026
94	9241	88033
95	9329	87850
96	9416	87665
97	9508	87513
98	9612	87480
99	9766	87896
100	9918	88285
101	10068	88640
102	10223	89035
103	10369	89340
104	10516	89643
105	10662	89923
106	10815	90264
107	10954	90476
108	11116	90869
109	11261	91112
110	11414	91417
111	11549	91573
112	11705	91880
113	11852	92118
114	12008	92410
115	12148	92581
116	12292	92772
117	12450	93062
118	12598	93270
119	12771	93657
120	12916	93829
121	13058	93979
122	13204	94147
123	13366	94428
124	13514	94600
125	13676	94865
126	13841	95146
127	13975	95208
128	14124	95370
129	14262	95450
130	14406	95568
131	14543	95637
132	14692	95774
133	14827	95825
134	14967	95902
135	15115	96027
136	15253	96084
137	15386	96111
138	15538	96246
139	15703	96462
140	15850	96567
141	15986	96596
142	16111	96555
143	16250	96597
144	16413	96781
145	16563	96887
146	16719	97017
147	16873	97135
148	17028	97259
149	17184	97377
150	17332	97454
151	17500	97635
152	17630	97600
153	17779	97673
154	17931	97754
155	18088	97863
156	18237	97926
157	18400	98056
158	18539	98061
159	18689	98120
160	18830	98129
161	18980	98180
162	19111	98136
163	19269	98225
164	19411	98234
165	19576	98355
166	19712	98326
167	19848	98295
168	19980	98247
169	20108	98178
170	20263	98235
171	20409	98250
172	20579	98378
173	20716	98343
174	20868	98378
175	21022	98421
176	21177	98468
177	21313	98423
178	21448	98376
179	21600	98402
180	21745	98396
181	21911	98482
182	22059	98486
183	22197	98441
184	22349	98457
185	22497	98454
186	22637	98417
187	22785	98412
188	22923	98366
189	23076	98377
190	23201	98271
191	23356	98292
192	23501	98267
193	23637	98203
194	23772	98136
195	23919	98118
196	24072	98123
197	24231	98150
198	24358	98047
199	24504	98017
200	24656	98014
201	24795	97955
202	24925	97861
203	25058	97778
204	25194	97705
205	25345	97689
206	25478	97607
207	25637	97619
